#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_name,total_subscribers,total_views,total_videos
1,Mohamed Ramadan I محمد رمضان @UCJCj2HtcnbOyCj1rmKaxwJg,14.2M,0.70%,Egypt,,4.3M,Mohamed Ramadan I محمد رمضان,15800000,5883036634,796
2,123 GO! Arabic @UCpOJTQlSIeyAy89UwcpoN0A,8.8M,-,Egypt,,2.6M,123 GO! Arabic,9570000,4411526517,921
3,Al Nahar TV @UCtpL6HyBK-z16GbJguHf3JQ,8.2M,-,Egypt,,2.5M,Al Nahar TV,9410000,3835152904,108277
4,Shawar @UCUSdNXmG2LlNS01ptoq24MA,7.9M,-,Egypt,,2.4M,Shawar,13700000,4714677272,1531
5,قناة المجلة @UC6E13U6cZmwpfGVwBgC4isQ,7.7M,-,Egypt,,2.3M,صوت المجلة,8250000,1188660955,2073
6,ON @UCpuCos88YFmYxjHamHhEJhA,7.7M,-,Egypt,,2.3M,ON,8520000,2844628599,124482
7,Vincenzo @UC_coy_NX4AP5hu1FaHYQaDw,6.9M,0.20%,Egypt,,2.1M,Vincenzo,6880000,500093916,752
8,dmc @UCEeFa7t5I0fqpcLGF-36TEw,6.7M,-,Egypt,,2M,dmc,7410000,3313377437,201492
9,دروس أونلاين @UCEHvaZ336u7TIsUQ2c6SAeQ,6.4M,0.40%,Egypt,,1.9M,دروس أونلاين,8580000,478366710,643
10,Mazzika - مزيكا @UCxIoihijwX4BvHjPGjKrovg,6.3M,-,Egypt,,1.9M,Mazzika - مزيكا,7520000,4286861392,4190
11,Ramez Galal @UCWLPH3b4FEbI4kRO0LKxMMg,6.2M,-,Egypt,,1.9M,Ramez Galal,7280000,1874493833,677
12,"Free Music ""Nasr Mahrous"" @UCFHO4UajO7sADTOhOQTqqag",6.2M,-,Egypt,,1.9M,"Free Music ""Nasr Mahrous""",7600000,4303346410,816
13,Information | M3loma @UCA1t1vV27405K8EJKphDfbQ,6M,-,Egypt,,1.8M,معلومة | M3loma,6360000,684370206,1500
14,Amr Diab @UCpui0-2JqcAcII4ybpB1q3w,5.8M,-,Egypt,,1.7M,Amr Diab,6150000,2114506610,238
15,برنامج هي وبس @UCfypXlJbI-hA6eotW5IUTxg,5.7M,-,Egypt,,1.7M,برنامج هي وبس,5950000,873363954,6261
